チーム名,マスコット名,特徴,ポケモンタイプ
宇都宮ブレックス,ブレッキー,黄色いクマのキャラクター。力強さとチームカラーから。,でんき・かくとう
茨城ロボッツ,ロボスケ,ロボットがモチーフ。テクノロジーと未来的なイメージから。,はがね・でんき
千葉ジェッツ,ジャンボくん,飛行機をモチーフ。空を飛ぶイメージから。,ひこう・はがね
サンロッカーズ渋谷,サンディー,ライオンと太陽がモチーフ。,ほのお・ノーマル
アルバルク東京,ルーク,騎士をモチーフ。鎧のイメージから。,はがね・かくとう
群馬クレインサンダーズ,サンダ君,雷を持つ鶴がモチーフ。力強さとスピード感から。,でんき・ひこう
川崎ブレイブサンダース,ロウル,雷をモチーフ。,でんき
横浜ビー・コルセアーズ,コルス,海賊がモチーフ。海のイメージから。,みず・あく
新潟アルビレックスBB,アルード,白鳥がモチーフ。水辺の鳥のイメージから。,みず・ひこう
富山グラウジーズ,グラッキー,鷲をモチーフ。空を飛ぶ鷲のイメージから。,ひこう
信州ブレイブウォリアーズ,ブレアー,戦士をモチーフ。戦闘的なイメージから。,かくとう
三遠ネオフェニックス,フェニ太,フェニックスがモチーフ。炎の鳥のイメージから。,ほのお・ひこう
名古屋ダイヤモンドドルフィンズ,ディーディー,イルカをモチーフ。水中の生物のイメージから。,みず
名古屋フェニックス,フェニ太,フェニックスがモチーフ。炎の鳥のイメージから。,ほのお・ひこう
シーホース三河,シーホースくん,タツノオトシゴがモチーフ。水とドラゴンの要素から。,みず・ドラゴン
滋賀レイクス,マグニー,鯰がモチーフ。湖に生息する魚のイメージから。,みず・じめん
京都ハンナリーズ,はんニャリン,狐がモチーフ。神社の狐のイメージから。,エスパー
大阪エヴェッサ,まいどくん,忍者がモチーフ。忍者のイメージから。,あく
島根スサノオマジック,すさたまくん,ヤマタノオロチをイメージした靴を履く。,ドラゴン・ノーマル
広島ドラゴンフライズ,モヒカンアビィ,モヒカンの鳥キャラクター。空を飛ぶ力強いイメージから。,ひこう・かくとう
琉球ゴールデンキングス,ゴーディー,王冠をかぶったキャラクター。,はがね
仙台89ERS,ティナ,ライオンがモチーフ。勇敢さと力強さのイメージから。,ノーマル
秋田ノーザンハピネッツ,ビッキー,元気で活発なキャラクター。秋田の明るさを象徴。,かくとう
越谷アルファーズ,アルファマン,ヒーローがモチーフ。力強さと頼れる存在感から。,かくとう・ノーマル
レバンガ北海道,レバード,クマがモチーフ。北海道の自然と力強さのイメージから。,こおり・ノーマル
佐賀バルーナーズ,バルタン,気球がモチーフ。軽やかで空を飛ぶイメージから。,ひこう・フェアリー
長崎ヴェルカ,LUCA（ルカ）,龍とおしどりがモチーフ。,ドラゴン・ひこう
